api_domain,endpoints,core_modules,public_core_symbols,audit_tier,review_actions,key_findings,status
allocation,1,Allocation,2,Tier 1,"Static trace; analytic target-conservation probe; tests reviewed","F014","Correctness defect found"
alt,26,"ALT_fitters; Bayesian; Reliability_testing",15,Tier 1,"Endpoint inventory; likelihood/optimizer trace; analytic and adversarial probes; source research","F002; F004; F005; F007; F009-F013; F018; F036-F040","Multiple correctness and inference defects found"
capability,1,Process_capability,1,Tier 1,"Formula/assumption trace; workflow review; NIST comparison","F024; F031","Decision precondition missing"
descriptive,7,Descriptive,7,Tier 2,"Static formula review; input validation and test coverage screening","None material in sampled paths","No material defect identified; not a certification"
doe,2,DOE,13,Tier 2,"Design generation/analysis trace; boundary review; NIST method comparison","F032; F033; F049","Validation and feature gaps found"
fault_tree,1,FaultTree,5,Tier 1,"Gate semantics trace; exact shared-event probe; Monte Carlo interval review; NRC comparison","F003; F016; F017; F045; F046","Correctness and model-risk defects found"
growth,4,Repairable_systems,8,Tier 1,"Model formula trace; censoring semantics review; special-case probes; recurrent-event research","F020; F021; F041","Data semantics and uncertainty risks found"
hra,10,HRA,11,Tier 2,"Method-identity trace; NRC method comparison; dependency/uncertainty review","F023","Named-method conformance risk found"
hypothesis,4,Hypothesis_tests,14,Tier 1,"Formula trace; effect-direction probe; design-assumption review","F027; F028","One semantic defect and assumption gaps found"
life_data,16,"Distributions; Fitters; Nonparametric; Probability_plotting; Special_models; Utils",50,Tier 1,"Distribution identities; likelihood/model-selection trace; GoF research; optimizer and CI review","F007-F013; F038","Numerical and inferential risks found"
maintenance,4,None,0,Tier 1,"Decision formula trace; age-replacement probe; model-scope review","F019; F042","Decision defect and scope gaps found"
markov,3,Markov,6,Tier 2,"Transition-model trace; assumptions and uncertainty screening","F050","Model scope gap found"
msa,1,MSA,2,Tier 2,"ANOVA/Xbar-R formula trace; balance/topology review; NIST REML comparison","F029","Design-assumption gap found"
pof,14,None,0,Tier 2,"All endpoint formulas screened; dimensional/range checks; alternate-model research","F026; F047","Input and model-risk gaps found"
prediction,8,"Derating; FIDES; MIL_HDBK_217F; MIL_HDBK_217Plus; MissionProfile; NPRD_EPRD; NSWC; Telcordia",138,Tier 1,"Standards/table trace; mission dimensional probe; public-authority comparison","F001; F006; F022","Critical unit defect and conformance risk found"
predictive,4,CHAID,1,Tier 2,"Preprocessing/split trace; estimator diagnostics review; official library-method comparison","F034; F035","Validation-design risks found"
ram,3,None,0,Tier 2,"Availability/spares formula trace; renewal and finite-horizon assumption review","F042; F043","Model scope gaps found"
regression,1,Regression,7,Tier 1,"Matrix-algebra trace; rank-deficiency probe; optimizer/input screening","F025; F048","Inferential correctness defect found"
spc,1,SPC,8,Tier 2,"Control-limit/rule trace; Phase-I/II and subgroup-size review; NIST comparison","F030","Workflow and assumption gaps found"
system_reliability,1,SystemReliability,5,Tier 1,"Network formula trace; importance probe; scaling/dependency review","F015; F017; F046","Importance-label defect and model gaps found"
warranty,2,Warranty,2,Tier 2,"Grouped-data likelihood/data-semantics trace; forecasting uncertainty review","F044","Censoring/data-semantics gap found"
